match_id,direction,g14,g17,res
1968784,up,deep,shallow,A
1968794,up,shallow,shallow,A
1968801,down,,deep,B
1968802,down,deep,shallow,B
1968803,up,deep,shallow,B
1968804,down,shallow,deep,P
1968809,down,deep,deep,A
1968813,down,deep,deep,B
1968816,up,deep,shallow,A
1968824,up,shallow,deep,B
1968830,down,shallow,shallow,A
1968833,down,shallow,shallow,B
1968847,down,shallow,shallow,B
1968851,down,deep,deep,B
1968853,down,,deep,A
1968855,down,deep,shallow,B
1968861,down,deep,deep,A
1968863,down,shallow,shallow,P
1968869,down,deep,deep,B
1968870,down,deep,deep,A
1968871,up,shallow,shallow,B
1968875,down,shallow,shallow,B
1968876,up,deep,shallow,P
1968879,down,,shallow,B
1968885,down,deep,deep,B
1968888,down,deep,deep,B
1968891,down,deep,,B
1968894,down,,shallow,P
1968896,down,deep,shallow,A
1968907,down,deep,shallow,B
1968918,down,shallow,shallow,B
1968920,up,deep,deep,A
1968927,down,shallow,deep,B
1968928,down,shallow,shallow,B
1968931,down,deep,deep,B
1968942,down,shallow,shallow,B
1968947,down,shallow,shallow,A
1968952,down,shallow,shallow,B
1968958,down,deep,deep,B
1968964,up,deep,deep,A
1968973,down,deep,deep,A
1968974,down,deep,,B
1968983,down,deep,shallow,A
1968988,down,deep,deep,A
1968994,down,deep,shallow,B
1968997,down,deep,deep,A
1968999,down,,,P
1969102,down,,deep,B
1969122,down,deep,deep,B
1973002,down,deep,shallow,A
1973003,down,shallow,deep,B
1973014,down,deep,deep,A
1973015,down,shallow,shallow,B
1973027,down,deep,deep,B
1973036,down,deep,shallow,B
1973040,down,shallow,shallow,B
1973078,down,deep,shallow,A
1973090,down,deep,deep,A
1973096,down,deep,deep,B
1973112,down,shallow,shallow,B
1973120,down,deep,shallow,A
1973121,down,deep,shallow,B
1973123,down,deep,shallow,B
1973125,down,shallow,shallow,A
1973129,down,deep,deep,B
1973135,down,deep,shallow,B
1973145,down,deep,deep,B
1973153,down,deep,shallow,B
1973155,down,deep,shallow,B
1973157,down,shallow,shallow,P
1973163,down,shallow,deep,B
1973166,down,deep,shallow,B
1973167,down,deep,deep,A
1973177,down,deep,shallow,A
1973189,down,shallow,deep,A
1973191,down,deep,shallow,B
1973206,down,shallow,deep,B
1973207,down,deep,deep,A
1973214,down,deep,deep,B
1973222,down,shallow,deep,B
1973224,down,shallow,shallow,B
1973228,down,deep,shallow,B
1973229,down,shallow,deep,A
1973233,down,deep,deep,A
1973235,down,deep,deep,A
1973994,down,shallow,deep,A
1974001,down,shallow,deep,B
1974873,down,shallow,deep,B
1974875,down,,deep,P
1974876,down,deep,shallow,A
1974877,down,deep,shallow,B
1974878,down,shallow,deep,B
1974879,down,deep,shallow,A
1974886,down,shallow,shallow,B
1974890,down,shallow,deep,B
1974892,down,deep,shallow,A
1974893,down,shallow,deep,B
1974894,down,shallow,deep,B
1974896,down,deep,shallow,B
1974903,up,deep,,A
1974907,down,deep,shallow,A
1974918,down,deep,deep,A
1974926,down,shallow,deep,B
1974928,up,deep,deep,B
1974941,down,shallow,shallow,B
1974942,down,shallow,shallow,A
1974948,down,shallow,deep,A
1974958,down,shallow,shallow,B
1974962,down,deep,shallow,A
1974966,down,shallow,deep,B
1974967,down,deep,deep,A
